,date,currency_code,from_myr,to_myr,cpi,cpi_growth_rate,gdp,interest_rate
5595,2020-10-02,KRW,280.112,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5596,2020-10-05,KRW,279.4857,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5597,2020-10-06,KRW,279.7985,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5598,2020-10-07,KRW,279.3296,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5599,2020-10-08,KRW,278.3964,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5600,2020-10-09,KRW,276.3958,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5601,2020-10-12,KRW,277.5465,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5602,2020-10-13,KRW,276.7017,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5603,2020-10-14,KRW,275.8621,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5604,2020-10-15,KRW,275.8621,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5605,2020-10-16,KRW,275.9382,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5606,2020-10-19,KRW,275.558,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5607,2020-10-20,KRW,274.7253,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5608,2020-10-21,KRW,273.2987,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5609,2020-10-22,KRW,273.5978,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5610,2020-10-23,KRW,273.4482,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5611,2020-10-26,KRW,271.0762,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5612,2020-10-27,KRW,270.636,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5613,2020-10-28,KRW,271.1497,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5614,2020-10-30,KRW,271.0762,0.0037,106.2,0.663507109004742,2.243977860110121,4.321429492890669
5615,2020-11-02,KRW,273.1494,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5616,2020-11-03,KRW,273.224,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5617,2020-11-04,KRW,273.7476,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5618,2020-11-05,KRW,272.6281,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5619,2020-11-06,KRW,271.5915,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5620,2020-11-09,KRW,271.0027,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5621,2020-11-10,KRW,271.0762,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5622,2020-11-11,KRW,269.6145,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5623,2020-11-12,KRW,269.5418,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5624,2020-11-13,KRW,270.2703,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5625,2020-11-16,KRW,269.324,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5626,2020-11-17,KRW,269.5418,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5627,2020-11-18,KRW,269.8327,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5628,2020-11-19,KRW,272.0348,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5629,2020-11-20,KRW,272.257,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5630,2020-11-23,KRW,271.9608,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5631,2020-11-24,KRW,271.3704,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5632,2020-11-25,KRW,270.7826,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5633,2020-11-26,KRW,271.0027,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5634,2020-11-27,KRW,271.0762,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5635,2020-11-30,KRW,271.4441,0.0037,105.61,-0.555555555555559,2.243977860110121,4.321429492890669
5636,2020-12-01,KRW,271.3704,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5637,2020-12-02,KRW,270.2703,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5638,2020-12-03,KRW,269.324,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5639,2020-12-04,KRW,267.1654,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5640,2020-12-07,KRW,265.8867,0.0038,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5641,2020-12-08,KRW,266.3825,0.0038,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5642,2020-12-09,KRW,266.099,0.0038,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5643,2020-12-10,KRW,267.2368,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5644,2020-12-11,KRW,268.6728,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5645,2020-12-14,KRW,269.324,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5646,2020-12-15,KRW,269.3966,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5647,2020-12-16,KRW,269.7599,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5648,2020-12-17,KRW,270.3433,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5649,2020-12-18,KRW,272.257,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5650,2020-12-21,KRW,272.0348,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5651,2020-12-22,KRW,272.9258,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5652,2020-12-23,KRW,273.1494,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5653,2020-12-24,KRW,271.6653,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5654,2020-12-28,KRW,270.4164,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5655,2020-12-29,KRW,269.6145,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5656,2020-12-30,KRW,268.8895,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5657,2020-12-31,KRW,270.4164,0.0037,105.5,-0.104156803333017,2.243977860110121,4.321429492890669
5658,2021-01-04,KRW,270.4164,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5659,2021-01-05,KRW,270.8559,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5660,2021-01-06,KRW,271.0027,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5661,2021-01-07,KRW,270.9293,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5662,2021-01-08,KRW,270.7826,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5663,2021-01-11,KRW,271.6653,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
